Id,Label,timeset,name,institute,department,year,title,reference,componentnumber
20032,胡钧,,胡钧,CHINESE ACADEMY OF SCIENCES,数理科学部,1997,JQ,8.904358542,0
20031,靳常青,,靳常青,CHINESE ACADEMY OF SCIENCES,工程与材料科学部,1997,JQ,8.165079259,
20030,李德铢,,李德铢,CHINESE ACADEMY OF SCIENCES,生命科学部,1997,JQ,7.756195344,
20029,刘宝元,,刘宝元,BEIJING NORMAL UNIVERSITY,地球科学部,1997,JQ,6.642486801,
20028,刘俊明,,刘俊明,NANJING UNIVERSITY,工程与材料科学部,1997,JQ,8.14322675,
20027,刘耀光,,刘耀光,SOUTH CHINA AGRICULTURAL UNIVERSITY,生命科学和医学学部,2017,JQ,8.188966864,
20026,刘振宇,,刘振宇,CHINESE ACADEMY OF SCIENCES,化学科学部,1997,JQ,7.232733136,
20025,罗泽伟,,罗泽伟,FUDAN UNIVERSITY,生命科学部,1997,JQ,7.261225092,
20024,吕力,,吕力,CHINESE ACADEMY OF SCIENCES,数理科学部,1997,JQ,5.590986981,
20023,马余刚,,马余刚,CHINESE ACADEMY OF SCIENCES,数学物理学部,2017,JQ,8.214465161,
