Source,Target,Type,Id,Label,timeset,Weight,value
10413,20770,Undirected,16523,,,1,1
10677,20847,Undirected,16524,,,1,1
11275,30131,Undirected,16525,,,1,1
10916,20373,Undirected,16526,,,2,2
21080,21101,Undirected,16527,,,6,6
20383,20509,Undirected,16528,,,2,2
20194,20261,Undirected,16529,,,1,1
10531,11116,Undirected,16530,,,4,4
20542,40070,Undirected,16531,,,27,27
20998,60019,Undirected,16532,,,21,21
11059,30156,Undirected,16533,,,13,13
10624,30181,Undirected,16534,,,1,1
10941,20583,Undirected,16535,,,1,1
10012,10896,Undirected,16536,,,58,58
21041,60087,Undirected,16537,,,2,2
20430,40025,Undirected,16538,,,1,1
20006,21829,Undirected,16539,,,2,2
30295,50032,Undirected,16540,,,7,7
20373,30080,Undirected,16541,,,1,1
10268,20505,Undirected,16542,,,172,172
10988,21243,Undirected,16543,,,5,5
20175,21318,Undirected,16544,,,1,1
20941,21477,Undirected,16545,,,2,2
20434,40003,Undirected,16546,,,1,1
20221,30244,Undirected,16547,,,3,3
11068,20487,Undirected,16548,,,4,4
11183,20936,Undirected,16549,,,18,18
11077,11310,Undirected,16550,,,13,13
11127,20710,Undirected,16551,,,12,12
90012,90020,Undirected,16552,,,1,1
10329,10713,Undirected,16553,,,22,22
10267,20577,Undirected,16554,,,1,1
20008,21052,Undirected,16555,,,1,1
11027,11256,Undirected,16556,,,1,1
21069,60028,Undirected,16557,,,1,1
10795,11239,Undirected,16558,,,3,3
20254,20439,Undirected,16559,,,1,1
20363,21575,Undirected,16560,,,5,5
30382,40192,Undirected,16561,,,1,1
10855,30406,Undirected,16562,,,2,2
20354,40192,Undirected,16563,,,1,1
10304,20306,Undirected,16564,,,4,4
20594,40099,Undirected,16565,,,1,1
20083,21116,Undirected,16566,,,1,1
11195,11305,Undirected,16567,,,1,1
10856,20824,Undirected,16568,,,2,2
20033,21053,Undirected,16569,,,1,1
21830,40040,Undirected,16570,,,1,1
11099,30369,Undirected,16571,,,41,41
10310,21351,Undirected,16572,,,1,1
10408,20106,Undirected,16573,,,1,1
20985,60024,Undirected,16574,,,1,1
10413,10946,Undirected,16575,,,3,3
10310,21358,Undirected,16576,,,6,6
10359,20551,Undirected,16577,,,1,1
10547,40137,Undirected,16578,,,19,19
20553,21201,Undirected,16579,,,11,11
11137,20445,Undirected,16580,,,1,1
20529,21037,Undirected,16581,,,7,7
